地宫黄蜂,靠近感知
地宫元精,靠近感知
地宫盲头蟹,声音感知
地宫粘液怪,靠近感知
地宫眼镜蛇,视野感知
地宫软糊怪,靠近感知
地宫魔界花,靠近感知
地宫大口花,靠近感知
地宫幼苗,靠近感知
地宫弥诺陶洛斯,视觉感知
地宫斯卡尼特,靠近感知
地宫乌洛里石,靠近感知
地宫犀蜴,靠近感知
地宫无头骑士,声音感知
噩梦百目妖,靠近感知
噩梦梦魔,视觉感知
噩梦假面,视觉感知
噩梦幽灵,视觉感知
噩梦墓穴守卫,声音感知
地宫魔力罐,靠近感知
地宫小魔精,靠近感知
地宫石像魔,靠近感知
地宫笠头螈,靠近感知
地宫三角龙,靠近感知
地宫无齿翼龙,靠近感知
地宫大脚巨猿,靠近感知
地宫爆弹怪,"视觉感知
如果你没有及时击杀它，他会自爆。"
地宫瓦魔蛾幼虫,听觉感知
地宫巨虫,听觉感知
地宫毛虫,听觉感知
地宫骏鹰,视觉感知
地宫墓穴守卫,声音感知
深宫黄蜂,靠近感知
地宫盲头蟹,靠近感知
地宫元精为,靠近感知
深宫巨蟾蜍,视觉感知
深宫粘液怪,靠近感知
深宫眼镜蛇,视觉感知
深宫魔界花,靠近感知
地宫大口花,靠近感知
深宫弥诺陶洛斯,"视觉感知
这个怪物会施放百十一吨回旋，这是一个以其自身为圆心没有范围提示的高伤害击退AOE。可被眩晕打断"
深宫斯卡尼特,靠近感知
深宫乌洛里石,靠近感知
深宫犀蜴,靠近感知
地宫无头骑士,声音感知
深宫冥鬼之眼,视觉感知
深宫百目妖,靠近感知
深宫恶魔,"视觉感知
如果你不及时杀死他，它会吟唱一个大漩涡把你HP清空"
深宫石像鬼,"视觉感知
他的毒和劈斩会对DPS造成大量伤害，你不用生者秘药和魔陶器 强化防御的话会很困难。"
深宫曼提克,"视觉感知
它会使用物理攻击提升BUFF，然后使用一个无范围提示的AOE撕裂利爪，这个技能真的很疼。我的建议是要么尾行他，要么绕路走。"
深宫幽灵,"靠近感知
他的大范围AOE尖啸会让你被迫走进房间，从而可能就会踩到陷阱或拉到怪。不过你可以眩晕和沉默它。"
"	深宫假面",靠近感知
深宫守卫,声音感知
深宫魔力罐,"靠近感知
有顺劈连击，注意他们的大伤害，必要时记得用生者秘药"
深宫深瞳,"视觉感知
有顺劈连击，注意他们的大伤害，必要时记得用生者秘药"
深宫马洛里石,"靠近感知
有顺劈连击，注意他们的大伤害，必要时记得用生者秘药"
深宫上级恶魔,靠近感知
深宫三角龙,"靠近感知
些怪有顺劈，而且很疼"
深宫中音巨鳄,"视觉感知
些怪有顺劈，而且很疼"
深宫笠头螈,靠近感知
深宫无齿翼龙,靠近感知
深宫斑攫兽,"视觉感知
顺劈/连击"
深宫雄狮,"视觉感知
顺劈/连击"
深宫白狼,"危 视觉感知
有一个附带DOT的顺劈，准备好用康复驱散它。"
深宫文森野牛,"视觉感知
有DPS CHECK，如果不及时击杀的话，他会把所有人吸入，并附加一个大概95%-99%的减速DEBUFF。接着会跺一脚，
造成DPS的HP90%的伤害并造成麻痹。"
深宫独眼雪巨人,"视觉感知
有两个没有提示的一击必杀的范围技能，怒视和百吨回转。怒视是一个几乎瞬发的正面直线AOE。百吨回转则是一个圆形AOE(所以走出这个范围就行)
这些都是可以被眩晕打断的。"
深宫大脚巨猿,"靠近感知
他是靠近感知的怪物，会有两个在非战斗状态下使用的技能。吃香蕉和捶胸。吃香蕉会给他自己一个物理增伤BUFF，并会多次使用。捶胸，以一个房间大
小的范围造成物理AOE和物理易伤。所以，不要在附近有深宫大脚巨猿时去打怪。也永远不要打一个有增伤BUFF的深宫大脚巨猿，否则你会被一击必杀。
因此，等到BUFF结束后再上。他的殴打暴击能造成13k的伤害，所以单人时强烈建议使用魔陶器 强化防御，否则一个连击你就死了。"
,
深宫妖鸟,"视觉感知
顺劈会造成大量伤害，但你也要也要注意他们的天启。这个技能会造成范围伤害和混乱。它进入战斗一段时间后，他们会使用极乐之
风，获得加速和提升伤害的BUFF。这段时间内的天启都是秒杀的，你可以打断它的BUFF吟唱或用减速抵消它的加速。"
深宫安祖,"视觉感知
会点名随机小队成员造成附带DOT的范围顺劈狂乱，造成大量AOE伤害
永远永远永远不要在单人时去碰它！"
深宫瓦魔蛾幼虫,"靠近感知
有一个顺劈/连击。一旦暴击，即使你及时治疗自己并使用生者秘药，也可以杀死一个非T职业。保持警惕并考虑使用魔陶器 强化防御。深宫瓦魔蛾幼虫是韩宗，但是可以听到你。所以可以走着绕过他们。当你风筝着打深宫瓦魔蛾幼虫时，他也没有那么可怕。但是如果可以的话，我也不会去拉深宫风巨魔。"
深宫风巨魔,"视觉感知
有一个顺劈/连击。一旦暴击，即使你及时治疗自己并使用生者秘药，也可以杀死一个非T职业。保持警惕并考虑使用魔陶器 强化防御。深宫瓦魔蛾幼虫是韩宗，但是可以听到你。所以可以走着绕过他们。当你风筝着打深宫瓦魔蛾幼虫时，他也没有那么可怕。但是如果可以的话，我也不会去拉深宫风巨魔。"
深宫巨钳虾,"危 视觉感知
会把人吸入然后造成大量伤害。同时也会施放会造成减速的大伤害点名AOE螺旋尾 。如果你用魔陶器 强化防御的话，赤魔或奶妈都可以单挑得过"
深宫洪水巨虫,"危 声音感知
在半个房间大小的区域内随机点名并释放AOE。有一个连击和30s的DPS CHECK。一旦失败他会吸入所有人，并造成20k的伤害。他只要不暴击的话，赤魔或奶妈使用魔陶器 强化防御都可以磨死他。它是韩宗，走过去吧"
深宫毛爬虫,"HELL 声音感知
这种怪会施放7k伤害的瞬时伤害(顺劈就5k)。此外，他们还会使用3k一跳的瞬时AOE毒。打这个怪的时候尽量分散并使用康复。它是韩宗，走过去吧。"
水龙,"HELL 	视觉感知
会释放一个瞬时的造成DOT伤害的毒，和深宫毛爬虫类似。记得用康复并注意分散站位。"
深宫加姆,"危 靠近感知
有一大堆秒杀技能。主要是雷电咆哮和寒冰咆哮。雷电咆哮安全点在脚底，寒冰咆哮则需要远离。这两个技能都可以被沉默打断。以我的经验，吃冰的比吃雷的多了很多，所以一定要赶快远离boss。如果你是躲怪大师，那奇美拉是187-189最容易杀的怪了，但还是要注意注意再注意，他的普攻暴击有10k伤害。"
深宫元精,靠近感知
深宫木乃伊,靠近感知
地宫木乃伊,靠近感知
深宫寒冰陷阱草,声音感知
奥尼克斯龙,靠近感知
深宫骏鹰,"视觉感知
这几只怪的顺劈/连击都很疼，单人时不用魔陶器 强化防御不上。"
深宫铁面腐尸,"靠近感知
这几只怪的顺劈/连击都很疼，单人时不用魔陶器 强化防御不上。"
深宫贪吃鬼,"靠近感知
这几只怪的顺劈/连击都很疼，单人时不用魔陶器 强化防御不上。"
深宫幽鬼之眼,"视觉感知
和131-140层的深宫冥鬼之眼相似，都有一个前方无范围提示的AOE。只不过现在这个叫5级即死。顾名思义，你中了的后果你自己应该清楚。"
深宫骑士,"危 靠近感知
这只怪的伤害太高了，单人时千万别打。他们会释放一个环形死亡螺旋，对没有站在他们身边的人造成20k的伤害。附近有深宫幽灵时绝对绝对绝对不要打深宫骑士。"
深宫幽灵,"靠近感知
他们会隔着房间对你释放点名AOE，通常一下一个，这个在附近时，绝对不要打深宫幽灵，因为他的AOE瘟疫诅咒会覆盖死亡螺旋的内圈安全范围，让你避无可避。"
深宫守卫,"危 声音感知
没什么可说的，他就是这里攻击力最高的怪。要么风筝他来躲开不必要的AOE，要么就走着绕过他。"
地宫死亡凝视,"这个boss很简单，但是在单挑时也不能低估他的伤害(注意在战斗中需要时刻保持移动)。
技能顺序如下：
爆裂尾：在普攻中夹杂的一次对T大伤害。
风暴：地面AOE。
杂音：以BOSS为圆心的AOE，附加降低攻击速度的DEBUFF。
光球：以指定玩家为圆心的AOE。
疾风爆发：一个附加少量DOT伤害的全场AOE技能。
总体策略：使用魔陶器 梦魔化在低层可以造成巨量伤害，这是因为易伤的潜在价值比大部分低级技能都要高。如果你的职业可以风筝BOSS，那你可以绕着场地边缘跑来躲掉的爆裂尾。"
大口花,"这个BOSS也很简单，攻击模式类似于10层。但是请不要低估它的大伤害技能，血腥的爱抚。
技能顺序大致为血腥的爱抚-以自身为圆心的AOE-点名圆形AOE-全场AOE。
全场AOE之后，它将会去场地最北边同时召唤两个地宫黄蜂。必须第一时间击杀小怪否则他们将会读条终极针让某位玩家当场去世。同时，BOSS会读条使用一个伤害极高的直线AOE腐烂恶臭。
总体策略：使用魔陶器 梦魔化来击杀BOSS和他召唤出的小怪(在它召唤时对着BOSS使用，可以通过AOE同时打到BOSS和小怪)。需要注意的是单人时可以使用生者秘药，它的伤害还是很高的。"
宁吉兹济达,"一句话攻略:站在场边，引导火球-冰球-火球-冰球，走到场地中央
这个BOSS除了会造成一个顺劈之外，还会对随机玩家点名顺序为火球，冰球，火球，冰球的场地AOE。这些AOE会在场上持续存在并会造成减速，因此你要站在场边引导。在放完第二个冰球后，BOSS会走到场中央并释放恐惧迷雾。他会对你造成高额伤害并使你获得恐惧DEBUFF，所以你需要在它吟唱时提前走到BOSS圈中间。"
伊休妲,"一句话攻略：杀完小怪
这个BOSS会施放4次在地上持续存在的AOE，然后召唤两只噩梦浮灵。躲避来自BOSS的AOE同时尽量快速的击杀小怪。在boss吟唱全场AOE尖啸后，小怪会向你使用龙卷(基本上你就凉了)，尤其在尖啸之后紧接一次暗影核爆的情况"
漆黑的艾达,贴紧boss来躲环形AOE身体健康。如果你正确处理每个机制，这个boss会很简单。他会释放两种身体健康，一种将要求你远离她，另一种将覆盖整个战斗区域除去她身下的一个小区域。因此请尽量靠近她来避开这个技能。这个技能除了本身的伤害之后，每个被此技能击中的敌人都会点亮一个地板上的符文，这会增加全屏AOE冥婚蜜月的伤害。除此之外，她有时会释放病入膏肓，它会立即对目标造成病弱DEBUFF，但由于她的技能释放顺序，你永远不必担心因为病弱的速度减缓而难以躲避身体健康。
深黑骑士,记得卡位，保证被点名击退后不要飞进持续地板AOE。
水虎龙亚夸虏,当boss吟唱浸泡时，把他完全拉出范围，否则他会得到加速BUFF。
古丹纳,远离boss施放的旋风，他们会将略大于他们视觉范围的人吸入并造成伤害。他会在边缘施放会施加易伤的大伤害AOE呵斥，所以当他跑去边缘时，一起跟着跑过去。他的HP在18%之后就会不断吟唱黄道陨石，一发就能造成你最大血量80%的伤害。因此，把爆发留到这个时候并尽快RUSH掉它。
爆弹怪教母,"把橘色小怪直接打死，把蓝色小怪推到boss边(所有技能都能推走它)。
打这个BOSS比上一个更需要一些小技巧。有时它会召唤一群不可选中的小爆弹，他们会一轮轮的各自释放一个以自身为圆心的AOE。同时你也需要在熔岩爆弹怪爆炸之前杀死它。它也会在吟唱特大爆炸时召唤一只眩晕爆弹怪，使用技能把他推到BOSS边，否则你要承受一个最大HP99%的伤害(减伤无效，所以不要想着用T的LB来硬抗！)。"
死灵术士尼博斯,"用魔陶器 强化自身、魔陶器 强化防御、生者秘药和魔陶器 梦魔化，大胆的用虚空烈焰怼boss吧，他会小怪焚化殆尽。
变身时间结束后，再用一个生者秘药和魔陶器 基路伯化，用天罚怼爆BOSS和地上的小怪。"
阿利坎托,"锤人疼,没了"
荣光魔花,"躲开AOE，杀死小蜜蜂
这个BOSS和20层的类似,但腐烂恶臭可以秒杀你了，所以躲开那些范围AOE。最简单的做法是把蜜蜂和BOSS拉在一起，然后用魔陶器 梦魔化把它们一网打尽。"
埃尔法德,"站在场边，引导火球-冰球-火球-冰球，跑到中间。
和30层的BOSS差不多，除了他的恐惧迷雾会吟唱的更快，在第二个冰球后马上跑到场地中间并确保所有人提前站好，这样你就不会被减速了。"
阿普切,魔陶器 基路伯化对这个BOSS有奇效(用了魔陶器 强化自身之后可以一发3w)。如果单挑的话，推荐你用魔陶器 强化自身+魔陶器 强化防御+魔陶器 基路伯化套餐。你也可以不用魔陶器 强化防御，那你可能就需要手动解除基路伯状态，吃个生者秘药，再用另一个魔陶器 基路伯化。
提西福涅,"风筝并杀死僵尸小怪(不要让他们摸到你)，梦魔小怪不是必须杀死的。
除了躲开范围AOE，你还有些别的要注意的。在第二次施放后暗黑召唤后。它会在房间的四角召唤四个盲信僵尸，每只僵尸会分别追一个人。他们会缓慢的爬向你，在接近你之后你会被僵尸止步，这会导致你被迫踩到致命AOE。这些小怪很害怕风系魔法,赤魔的赤疾风可以做到一发一个。这个BOSS也会召唤一些盲信梦魔。这种怪会释放一个高额伤害的顺劈。他有60k的血，所以不如无视掉它(你们通常可以通过易伤来尽快的击杀BOSS),如果你不杀死这只怪，BOSS会""吃掉""梦魔，然后恢复60k的血。一小会儿时间之后，BOSS会施放全屏AOE血雨，不使用魔陶器 强化防御的话会造成13k的伤害。老老实实的回复吧，接下来就进入循环了。"
非生骑士,尽管长得像是个60层BOSS的换色版，现在这个可以把你顶上天。虽然你不用魔陶器 强化防御也可以单打的过(至少赤魔打的过)我还是十分建议你提前用一个。你一旦踩进由悔恨殿制作出的流血区域，就是一跳5k的大伤害。除此之外，确定你不会被顶到爆炸球AOE中，否则BOSS紧接一刀你就死了。
虹蛇,在第一个沉重效果慢慢衰减时预留一个疾跑或打断，这是因为你需要用这个来逃过随之而来的生物电AOE(在沉重还有7秒时用疾跑)。
